Items :
[16:26:20.586] [LastEpoch_Hud] Id = MTX_Boots_ArcaneDuelistArmor, Slot = Boots, Override = Rogue_BOOTS_0_18, Name = Arcane Duelist Boots
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Chest_ArcaneDuelistArmor, Slot = Chest, Override = Rogue_BODY_ARMOR_0_18, Name = Arcane Duelist Chest
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Gloves_ArcaneDuelistArmor, Slot = Hands, Override = Rogue_GLOVES_0_18, Name = Arcane Duelist Gloves
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Helm_ArcaneDuelistArmor, Slot = Helm, Override = Rogue_HELMET_0_18, Name = Arcane Duelist Helmet
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Boots_ArgentumMyrmidon, Slot = Boots, Override = Rogue_BOOTS_1_1, Name = Argentum Myrmidon Boots
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Chest_ArgentumMyrmidon, Slot = Chest, Override = Rogue_BODY_ARMOR_1_1, Name = Argentum Myrmidon Chest
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Gloves_ArgentumMyrmidon, Slot = Hands, Override = Sentinel_GLOVES_1_1, Name = Argentum Myrmidon Gloves
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Helm_ArgentumMyrmidon, Slot = Helm, Override = Sentinel_HELMET_1_1, Name = Argentum Myrmidon Helm
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Boots_BronzescalePlate, Slot = Boots, Override = Rogue_BOOTS_0_12, Name = Bronzescale Boots
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Chest_BronzescalePlate, Slot = Chest, Override = Rogue_BODY_ARMOR_0_12, Name = Bronzescale Chest
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Gloves_BronzescalePlate, Slot = Hands, Override = Rogue_GLOVES_0_12, Name = Bronzescale Gloves
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Helm_BronzescalePlate, Slot = Helm, Override = Rogue_HELMET_0_12, Name = Bronzescale Helm
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Boots_CrescentSage, Slot = Boots, Override = Rogue_BOOTS_0_1, Name = Crescent Sage Boots
[16:26:20.595] [LastEpoch_Hud] Id = MTX_Chest_CrescentSage, Slot = Chest, Override = Primalist_BODY_ARMOR_0_1, Name = Crescent Sage Chest
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Gloves_CrescentSage, Slot = Hands, Override = Rogue_GLOVES_0_1, Name =  Crescent Sage Gloves
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Helm_CrescentSage, Slot = Helm, Override = Primalist_HELMET_0_1, Name = Crescent Sage Helm
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Boots_CrystalweavePlate, Slot = Boots, Override = Sentinel_BOOTS_0_2, Name = Crystalweave Plate Boots
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Chest_CrystalweavePlate, Slot = Chest, Override = Sentinel_BODY_ARMOR_0_2, Name = Crystalweave Plate Chest
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Gloves_CrystalweavePlate, Slot = Hands, Override = Sentinel_GLOVES_0_2, Name = Crystalweave Plate Gloves
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Helm_CrystalweavePlate, Slot = Helm, Override = Sentinel_HELMET_0_2, Name = Crystalweave Plate Helm
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Boots_DragonRidersRegalia, Slot = Boots, Override = Rogue_BOOTS_0_22, Name = Dragon Rider's Regalia
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Chest_DragonRidersRegalia, Slot = Chest, Override = Rogue_BODY_ARMOR_0_22, Name = Dragon Rider's Regalia
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Gloves_DragonRidersRegalia, Slot = Hands, Override = Rogue_GLOVES_0_22, Name = Dragon Rider's Regalia
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Helm_DragonRidersRegalia, Slot = Helm, Override = Primalist_HELMET_0_22, Name = Dragon Rider's Regalia
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Boots_FallenRonin, Slot = Boots, Override = Sentinel_BOOTS_1_2, Name = Fallen Ronin Boots
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Chest_FallenRonin, Slot = Chest, Override = Sentinel_BODY_ARMOR_1_2, Name = Fallen Ronin Chest
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Gloves_FallenRonin, Slot = Hands, Override = Sentinel_GLOVES_1_2, Name = Fallen Ronin Gloves
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Helm_FallenRonin, Slot = Helm, Override = Mage_HELMET_1_2, Name = Fallen Ronin Helm
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Boots_GildedCaptainsRegalia, Slot = Boots, Override = Rogue_BOOTS_0_4, Name = Gilded Captain’s Regalia Boots
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Chest_GildedCaptainsRegalia, Slot = Chest, Override = Rogue_BODY_ARMOR_0_4, Name = Gilded Captain’s Regalia Chest
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Gloves_GildedCaptainsRegalia, Slot = Hands, Override = Mage_GLOVES_0_4, Name = Gilded Captain’s Regalia Gloves
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Helm_GildedCaptainsRegalia, Slot = Helm, Override = Mage_HELMET_1_4, Name = Gilded Captain’s Regalia Helmet
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Boots_HarbingersPlate, Slot = Boots, Override = Rogue_BOOTS_4_5, Name = Harbingers Plate Boots
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Chest_HarbingersPlate, Slot = Chest, Override = Rogue_BODY_ARMOR_4_5, Name = Harbingers Plate Chest
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Gloves_HarbingersPlate, Slot = Hands, Override = Rogue_GLOVES_4_5, Name = Harbingers Plate Gloves
[16:26:20.596] [LastEpoch_Hud] Id = MTX_Helm_HarbingersPlate, Slot = Helm, Override = Rogue_HELMET_4_5, Name = Harbingers Plate Helm
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Boots_OblivionsChampion, Slot = Boots, Override = Sentinel_BOOTS_4_6, Name = Oblivion's Champion Boots
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Chest_OblivionsChampion, Slot = Chest, Override = Sentinel_BODY_ARMOR_4_6, Name = Oblivion's Champion Chest
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Gloves_OblivionsChampion, Slot = Hands, Override = Sentinel_GLOVES_4_6, Name = Oblivion's Champion Gloves
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Helm_OblivionsChampion, Slot = Helm, Override = Primalist_HELMET_4_6, Name = Oblivion's Champion Helm
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Boots_ScourgeoftheDepths, Slot = Boots, Override = Rogue_BOOTS_4_1, Name = Scourge of the Depths Boots
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Chest_ScourgeoftheDepths, Slot = Chest, Override = Rogue_BODY_ARMOR_4_1, Name = Scourge of the Depths Chest
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Gloves_ScourgeoftheDepths, Slot = Hands, Override = Rogue_GLOVES_4_1, Name = Scourge of the Depths Gloves
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Helm_ScourgeoftheDepths, Slot = Helm, Override = Rogue_HELMET_4_1, Name = Scourge of the Depths Helm
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Boots_SeaProwlersDemise, Slot = Boots, Override = Rogue_BOOTS_3_1, Name = Sea Prowler's Demise Boots
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Chest_SeaProwlersDemise, Slot = Chest, Override = Rogue_BODY_ARMOR_3_1, Name = Sea Prowler's Demise Chest
[16:26:20.597] [LastEpoch_Hud] Id = MTX_Gloves_SeaProwlersDemise, Slot = Hands, Override = Rogue_GLOVES_3_1, Name = Sea Prowler's Demise Gloves
