[23:18:38.139] [LastEpoch_Hud] List of skins, count = 3267
[23:18:38.142] [LastEpoch_Hud] Index = 0, Base Name = Mercenary Helmet, Type = HELMET, Classe Req = All
[23:18:38.142] [LastEpoch_Hud] Index = 1, Base Name = Mercenary Helmet, Type = HELMET, Classe Req = Acolyte
[23:18:38.142] [LastEpoch_Hud] Index = 2, Base Name = Mercenary Helmet, Type = HELMET, Classe Req = Mage
[23:18:38.142] [LastEpoch_Hud] Index = 3, Base Name = Mercenary Helmet, Type = HELMET, Classe Req = Primalist
[23:18:38.142] [LastEpoch_Hud] Index = 4, Base Name = Mercenary Helmet, Type = HELMET, Classe Req = Rogue
[23:18:38.142] [LastEpoch_Hud] Index = 5, Base Name = Leather Helmet, Type = HELMET, Classe Req = All
[23:18:38.142] [LastEpoch_Hud] Index = 6, Base Name = Leather Helmet, Type = HELMET, Classe Req = Acolyte
[23:18:38.143] [LastEpoch_Hud] Index = 7, Base Name = Leather Helmet, Type = HELMET, Classe Req = Mage
[23:18:38.143] [LastEpoch_Hud] Index = 8, Base Name = Leather Helmet, Type = HELMET, Classe Req = Primalist
[23:18:38.143] [LastEpoch_Hud] Index = 9, Base Name = Leather Helmet, Type = HELMET, Classe Req = Rogue
[23:18:38.143] [LastEpoch_Hud] Index = 10, Base Name = Iron Helmet, Type = HELMET, Classe Req = All
[23:18:38.143] [LastEpoch_Hud] Index = 11, Base Name = Iron Helmet, Type = HELMET, Classe Req = Acolyte
[23:18:38.143] [LastEpoch_Hud] Index = 12, Base Name = Iron Helmet, Type = HELMET, Classe Req = Mage
[23:18:38.143] [LastEpoch_Hud] Index = 13, Base Name = Iron Helmet, Type = HELMET, Classe Req = Primalist
[23:18:38.143] [LastEpoch_Hud] Index = 14, Base Name = Iron Helmet, Type = HELMET, Classe Req = Rogue
[23:18:38.143] [LastEpoch_Hud] Index = 15, Base Name = Fur Helmet, Type = HELMET, Classe Req = All
[23:18:38.144] [LastEpoch_Hud] Index = 16, Base Name = Fur Helmet, Type = HELMET, Classe Req = Acolyte
[23:18:38.144] [LastEpoch_Hud] Index = 17, Base Name = Fur Helmet, Type = HELMET, Classe Req = Mage
[23:18:38.144] [LastEpoch_Hud] Index = 18, Base Name = Fur Helmet, Type = HELMET, Classe Req = Primalist
[23:18:38.144] [LastEpoch_Hud] Index = 19, Base Name = Fur Helmet, Type = HELMET, Classe Req = Rogue
[23:18:38.144] [LastEpoch_Hud] Index = 20, Base Name = Dome Helmet, Type = HELMET, Classe Req = All
[23:18:38.144] [LastEpoch_Hud] Index = 21, Base Name = Dome Helmet, Type = HELMET, Classe Req = Acolyte
[23:18:38.144] [LastEpoch_Hud] Index = 22, Base Name = Dome Helmet, Type = HELMET, Classe Req = Mage
[23:18:38.144] [LastEpoch_Hud] Index = 23, Base Name = Dome Helmet, Type = HELMET, Classe Req = Primalist
[23:18:38.144] [LastEpoch_Hud] Index = 24, Base Name = Dome Helmet, Type = HELMET, Classe Req = Rogue
[23:18:38.144] [LastEpoch_Hud] Index = 25, Base Name = Secutor Helmet, Type = HELMET, Classe Req = All
[23:18:38.144] [LastEpoch_Hud] Index = 26, Base Name = Secutor Helmet, Type = HELMET, Classe Req = Acolyte
[23:18:38.144] [LastEpoch_Hud] Index = 27, Base Name = Secutor Helmet, Type = HELMET, Classe Req = Mage
[23:18:38.144] [LastEpoch_Hud] Index = 28, Base Name = Secutor Helmet, Type = HELMET, Classe Req = Primalist
[23:18:38.144] [LastEpoch_Hud] Index = 29, Base Name = Secutor Helmet, Type = HELMET, Classe Req = Rogue
[23:18:38.144] [LastEpoch_Hud] Index = 30, Base Name = Fur Helmet, Type = HELMET, Classe Req = Sentinel
[23:18:38.144] [LastEpoch_Hud] Index = 31, Base Name = Fur Helmet, Type = HELMET, Classe Req = Unknow
[23:18:38.144] [LastEpoch_Hud] Index = 32, Base Name = Fur Helmet, Type = HELMET, Classe Req = Unknow
[23:18:38.144] [LastEpoch_Hud] Index = 33, Base Name = Fur Helmet, Type = HELMET, Classe Req = Unknow
[23:18:38.144] [LastEpoch_Hud] Index = 34, Base Name = Fur Helmet, Type = HELMET, Classe Req = Unknow
[23:18:38.145] [LastEpoch_Hud] Index = 35, Base Name = Outcast Cage, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 36, Base Name = Bone Mask, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 37, Base Name = Skull Cage, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 38, Base Name = Death Mask, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 39, Base Name = Fiend Cowl, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 40, Base Name = Burial Mask, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 41, Base Name = Profane Crown, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 42, Base Name = Revenant Mask, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 43, Base Name = Copper Circlet, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 44, Base Name = Adept Helm, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 45, Base Name = Keeper Helm, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 46, Base Name = Temple Veil, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 47, Base Name = Lunar Helm, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 48, Base Name = Mystic Helm, Type = HELMET, Classe Req = All
[23:18:38.145] [LastEpoch_Hud] Index = 49, Base Name = Celestial Helm, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 50, Base Name = Runed Visage, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 51, Base Name = Oak Helm, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 52, Base Name = Wolf Pelt, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 53, Base Name = Darkwolf Pelt, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 54, Base Name = Chitin Helm, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 55, Base Name = Raptor Helm, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 56, Base Name = Icewolf Pelt, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 57, Base Name = Forest Cowl, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 58, Base Name = Greatwood Visage, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 59, Base Name = Leather Helm, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 60, Base Name = Infantry Helm, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 61, Base Name = Iron Visor, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 62, Base Name = Full Helm, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 63, Base Name = Winged Helm, Type = HELMET, Classe Req = All
